_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
681457141,FALSE,finalized,3,2/25/15 1:45,positive,0.6469,,,Delta,,jaxbra,,0,"@JetBlue Yesterday on my way from EWR to FLL just after take-off. :)
#wheelsup #JetBlueSoFly http://t.co/9xkiy0Kq2j",,2/24/15 11:48,5.70309E+17,"east brunswick, nj",Atlantic Time (Canada)
681457143,FALSE,finalized,3,2/25/15 8:25,neutral,0.6869,,,Delta,,Oneladyyouadore,,0,@JetBlue I hope so because I fly very often and would hate to change airlines.,,2/24/15 11:48,5.70309E+17,Georgia,Quito
681457144,FALSE,finalized,3,2/25/15 8:53,neutral,1,,,Delta,,Oneladyyouadore,,0,"@JetBlue flight 1041 to Savannah, GA",,2/24/15 11:45,5.70309E+17,Georgia,Quito
681457146,FALSE,finalized,3,2/25/15 8:20,negative,1,Flight Attendant Complaints,0.6522,Delta,,Oneladyyouadore,,0,"@JetBlue They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!",,2/24/15 11:42,5.70308E+17,Georgia,Quito
681457149,FALSE,finalized,3,2/25/15 1:04,negative,1,Bad Flight,1,Delta,,Oneladyyouadore,,0,@JetBlue everyone is here but our pilots are no where to be found and my last flight the plane was dirty that I had to clean my area &amp; seat!,,2/24/15 11:32,5.70305E+17,Georgia,Quito
681457150,FALSE,finalized,3,2/25/15 2:38,neutral,0.6472,,0,Delta,,culinarymindz,,0,"@JetBlue update on Flight 462 would be appreciated when you have time, thanks",,2/24/15 11:31,5.70305E+17,,
681457152,FALSE,finalized,3,2/25/15 8:17,neutral,0.6939,,,Delta,,kbosspotter,,0,@JetBlue check DM please :),,2/24/15 11:30,5.70305E+17,Logan International Airport,Atlantic Time (Canada)
681457154,FALSE,finalized,3,2/25/15 9:09,negative,1,Flight Booking Problems,0.6921,Delta,,heyheyman,,0,"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek",,2/24/15 11:26,5.70304E+17,"Boston, MA",Eastern Time (US & Canada)
681457155,FALSE,finalized,3,2/25/15 2:45,negative,1,Can't Tell,1,Delta,,erinkphares,,0,@JetBlue 2 aisles of empty #evermoreroom seats and we can't move bc we didn't pay?! #nonsense #Waste #JetBlue #jetbluebos #cheap,,2/24/15 11:11,5.703E+17,,
681457157,FALSE,finalized,3,2/25/15 1:34,negative,0.6913,Flight Attendant Complaints,0.3499,Delta,,chuck_martin,,0,@JetBlue ‰ЫЄs Marty St. George really has zero clue. How does he still have a job? #nobaggagefees http://t.co/tjDzaMHPEw,,2/24/15 11:01,5.70297E+17,SF Bay Area,Pacific Time (US & Canada)
